year,production
1991,624.9692747336043
1992,601.0784317311524
1993,587.6439427518352
1994,575.9171976223668
1995,587.1250931535293
1996,592.9343025579799
1997,589.1180868931037
1998,562.8650426895854
1999,553.057502460863
2000,572.5641823911236
2001,581.7001267264559
2002,582.4404889638034
2003,642.4264929785226
2004,701.110792093888
2005,765.3642718703459
2006,801.7938456174935
2007,852.6445181112068
2008,886.1005169165805
2009,891.385847671448
2010,1019.7391987031845
2011,975.3650797776036
2012,1019.5283902100543
2013,1041.1757309615523
2014,1043.878082665257
2015,1038.7914473245692
2016,967.7607354217055
2017,925.0142604892504
2018,884.6233482345924
2019,924.2410590091376
2020,892.7534582299571
2021,925.3250050129516
2022,981.4227366983638
2023,988.492877001572
